megye;jaras;cim;telepules_tipusa;lakossag;vedett;lats;longs;location_levels
VAS;Vasvári;Győrvár;község;628;394;46.9865245;16.8397595;LocLevel.PRECISE
BAR;Mohácsi;Nagynyárád;község;711;446;45.9448762;18.581665;LocLevel.PRECISE
FEJ;Martonvásári;Vál;község;2626;1647;43.4390685;6.0733753;LocLevel.PRECISE
ZAL;Zalaegerszegi;Zalacséb;község;501;314;46.8581793;16.6601813;LocLevel.PRECISE
BOR;Sátoraljaújhelyi;Pusztafalu;község;217;136;48.5467171;21.4868106;LocLevel.PRECISE
PES;Monori;Káva;község;659;413;47.3556823;19.5879305;LocLevel.PRECISE
GYO;Csornai;Szil;község;1390;871;47.5013162;17.2319589;LocLevel.PRECISE
BAR;Sellyei;Sellye;város;2651;1661;45.8735444;17.8514053;LocLevel.PRECISE
HAJ;Püspökladányi;Bihardancsháza;község;174;109;47.2288704;21.3161073;LocLevel.PRECISE
VES;Zirci;Bakonyoszlop;község;479;300;47.3444541;17.9233373;LocLevel.PRECISE
CSO;Hódmezővásárhelyi;Hódmezővásárhely;megyei jogú város;44031;27575;46.4171344;20.3196068;LocLevel.PRECISE
FEJ;Enyingi;Dég;község;2150;1346;46.8727995;18.4477565;LocLevel.PRECISE
ZAL;Lenti;Zalabaksa;község;612;383;46.7068048;16.5522561;LocLevel.PRECISE
CSO;Mórahalmi;Forráskút;község;2078;1300;46.3660316;19.9093047;LocLevel.PRECISE
PES;Váci;Galgagyörk;község;996;623;47.7406871;19.3752627;LocLevel.PRECISE
VES;Balatonfüredi;Balatoncsicsó;község;259;162;46.9266024;17.6688942;LocLevel.PRECISE
PES;Dabasi;Bugyi;nagyközség;5401;3378;47.221978;19.1490336;LocLevel.PRECISE
GYO;Soproni;Újkér;község;1017;636;47.463142;16.8145095;LocLevel.PRECISE
FEJ;Dunaújvárosi;Előszállás;nagyközség;2353;1471;46.8316103;18.8219252;LocLevel.PRECISE
VAS;Vasvári;Csipkerek;község;360;225;47.0737928;16.9413683;LocLevel.PRECISE
SOM;Csurgói;Porrogszentpál;község;80;50;46.2874405;17.0152291;LocLevel.PRECISE
BOR;Sátoraljaújhelyi;Vágáshuta;község;104;65;48.4232183;21.5401389;LocLevel.PRECISE
BAC;Kiskőrösi;Akasztó;község;3330;2081;46.6909821;19.2063536;LocLevel.PRECISE
KOM;Esztergomi;Bajót;község;1663;1039;47.7258495;18.5579539;LocLevel.PRECISE
KOM;Kisbéri;Kisbér;város;5530;3455;47.4992603;18.0300173;LocLevel.PRECISE
TOL;Paksi;Gerjen;község;1220;762;46.493611;18.9032424;LocLevel.PRECISE
GYO;Soproni;Ebergőc;község;157;98;47.5637067;16.8115755;LocLevel.PRECISE
ZAL;Zalaegerszegi;Zalalövő;város;2847;1777;46.8461983;16.5852286;LocLevel.PRECISE
GYO;Soproni;Fertőhomok;község;891;556;47.6197664;16.7671593;LocLevel.PRECISE
BOR;Putnoki;Szuhafő;község;125;78;48.4084596;20.4518413;LocLevel.PRECISE
NOG;Szécsényi;Szalmatercs;község;476;297;48.1220172;19.6375969;LocLevel.PRECISE
ZAL;Zalaegerszegi;Nagykutas;község;460;287;46.9263674;16.8017518;LocLevel.PRECISE
HEV;Gyöngyösi;Szűcsi;község;1515;945;47.8041906;19.7632166;LocLevel.PRECISE
SOM;Kaposvári;Bodrog;község;388;242;46.4868462;17.653198;LocLevel.PRECISE
PES;Nagykátai;Kóka;község;4617;2879;41.2176667;-4.5228361;LocLevel.PRECISE
SOM;Csurgói;Somogybükkösd;község;85;53;46.2990704;16.9883252;LocLevel.PRECISE
TOL;Paksi;Györköny;község;1004;626;46.6345169;18.6945738;LocLevel.PRECISE
CSO;Szegedi;Domaszék;község;5147;3209;46.2460831;19.9992805;LocLevel.PRECISE
SZA;Kemecsei;Nyírbogdány;község;2908;1813;48.0578271;21.8722554;LocLevel.PRECISE
ZAL;Zalaegerszegi;Pusztaszentlászló;község;555;346;46.6342567;16.8410158;LocLevel.PRECISE
GYO;Pannonhalmi;Tarjánpuszta;község;438;273;47.505322;17.7861413;LocLevel.PRECISE
SZA;Kisvárdai;Lövőpetri;község;507;316;48.1809669;22.1982747;LocLevel.PRECISE
VES;Várpalotai;Jásd;község;706;440;47.2829479;18.026161;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Hegyeshalom;nagyközség;3944;2458;47.9144882;17.1558011;LocLevel.PRECISE
ZAL;Nagykanizsai;Magyarszerdahely;község;491;306;46.5554057;16.937305;LocLevel.PRECISE
FEJ;Bicskei;Tabajd;község;1043;650;47.4064587;18.6264073;LocLevel.PRECISE
BOR;Szerencsi;Mád;község;2051;1278;39.8868227;-83.3937233;LocLevel.PRECISE
NOG;Pásztói;Palotás;község;1637;1020;47.7954248;19.5955271;LocLevel.PRECISE
SZA;Kisvárdai;Szabolcsbáka;község;1162;724;48.1572226;22.1395857;LocLevel.PRECISE
SOM;Marcali;Balatonújlak;község;480;299;46.6759752;17.383049;LocLevel.PRECISE
