sorszam;megye;jaras_v_kerulet;intezmeny_nev;cim;dolgozo_letszam;ferohely;cpoz_dolgozo_szam;cpoz_gondozott_szam;cpoz_dolgozo_korhazi_ellatas;cpoz_gondozott_korhazi_ellatas;cpoz_dolgozo_elhunyt;cpoz_gondozott_elhunyt;cpoz_dolgozo_gyogyult;cpoz_gondozott_gyogyult;lats;longs;location_levels
32.0;Bács- Kiskun;Bajai;Bácsborsódi Őszi Napfény Egyesített Szociális Intézmény, Nagybaracskai telephelye;6527 Nagybaracska, Mohácsi u. 6.;12.0;21;2.0;15.0;0.0;0.0;0.0;2.0;2.0;13.0;46.0380768;18.902947;LocLevel.PRECISE
33.0;Bács- Kiskun;Tiszakécskei;Gondozási Központ;6065 Lakitelek, Béke utca 20;11.0;12;5.0;2.0;0.0;1.0;0.0;0.0;5.0;1.0;46.8742455;20.0000452;LocLevel.PRECISE
34.0;Bács-Kiskun ;Kiskunhalasi;"Bács-Kiskun megyei ""Bárka""Integrált Szociális Intézmény";6400 Kiskunhalas, Kőrösi u.16.;188.0;308;89.0;54.0;0.0;2.0;1.0;20.0;81.0;32.0;46.42972356629943;19.487758344695706;LocLevel.POSTCODE
35.0;Bács-Kiskun ;Bácsalmási ;Katymár Község Önkormányzat Szociális Szolgáltató Központ;6455 Katymár Szent István kir. u. 28.;17.0;36;6.0;28.0;0.0;0.0;0.0;4.0;6.0;24.0;46.03261064885513;19.20662074248546;LocLevel.POSTCODE
36.0;Bács-Kiskun ;Kiskunhalasi;HTKT SZSZK Kisszállási Idősek Otthona;6421 Kisszállás, Iskola u. 20-22.;14.0;30;8.0;16.0;0.0;0.0;0.0;2.0;8.0;14.0;46.2777851;19.4945131;LocLevel.PRECISE
37.0;Bács-Kiskun;Tiszakécskei;Egyesített Szociális Intézmény és Egészségügyi Központ;6060 Tiszakécske, Vörösmarty u. 11.;45.0;44;17.0;43.0;0.0;0.0;0.0;11.0;17.0;32.0;46.9279627;20.1092842;LocLevel.PRECISE
38.0;Bács-Kiskun ;Kiskunmajsai;Orgona Református Egyesített Szociális Intézmény ;6131 Szank, Jókai u.2.;13.0;27;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46.5507639;19.6760019;LocLevel.PRECISE
39.0;Bács-Kiskun;Kunszentmiklósi;KESZI Idősek Otthona;6090 Kunszentmiklós  Felsőszenttamás  d.  8.;33.0;80;8.0;8.0;0.0;0.0;0.0;3.0;8.0;5.0;47.0141961;19.0731085;LocLevel.PRECISE
40.0;Bács-Kiskun;Kalocsai;Kalocsa Város Önkormányzata Szociális Központ;6300 Kalocsa, Kunszt J. u. 14.;15.0;46;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46.52791280985033;18.974699110933354;LocLevel.POSTCODE
41.0;Bács-Kiskun;Bajai;ÓVÓ Kezek Nonprofit KFT;6347 Érsekcsanád, Új sor 16;4.0;11;1.0;8.0;0.0;1.0;0.0;4.0;1.0;3.0;46.2466756;18.9823148;LocLevel.PRECISE
42.0;Bács-Kiskun;Kecskeméti;Egészségügyi és Szociális Intézmények Igazgatósága Levendula Idősek Otthona;6000 Kecskemét, Szent László város 1/A.;10.0;26;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;46.8925632;19.6939225;LocLevel.PRECISE
43.0;Bács-Kiskun;Kiskőrösi ;Soltvadkerti Református Idősek Otthona;6230 Soltvadkert, Kossuth Lajos u. 14;32.0;68;1.0;41.0;0.0;3.0;0.0;1.0;0.0;0.0;46.5817182;19.3820734;LocLevel.PRECISE
44.0;Bács-Kiskun;Kecskeméti;Őszirózsa Időskorúak Gondozóháza;6000 Kecskemét, Nyíri út 77/a;11.0;22;7.0;20.0;0.0;0.0;0.0;5.0;7.0;15.0;46.9084698;19.6803883;LocLevel.PRECISE
45.0;Bács-Kiskun;Kiskőrösi ;"""Harmónia"" Integrált Szociális Intézmény Idősek Otthona ";6211 Kaskantyú, III. körzet 1;8.0;35;1.0;9.0;0.0;0.0;0.0;1.0;1.0;8.0;46.671528620160146;19.388132500985723;LocLevel.POSTCODE
46.0;Bács-Kiskun;Bajai;Vaskút Idősek Otthona;6521 Vaskút, Damjanich 75;21.0;50;8.0;31.0;0.0;2.0;0.0;4.0;8.0;26.0;46.106017;18.9858815;LocLevel.PRECISE
47.0;Bács-Kiskun;Kecskeméti;Fogyatékos szeméyek rehabilitációs otthona és napköziotthona;6000 Kecskemét, Mikszáth Kálmán krt. 1.;33.0;30;4.0;22.0;0.0;0.0;1.0;0.0;3.0;22.0;46.902480628380374;19.677155653309093;LocLevel.POSTCODE
48.0;Bács-Kiskun;Kiskunhalasi;Halasi Többcélú Kistérségi Társulás Szociális Szolgáltató Központ;6136 Harkakötöny Bem utca 2.;5.0;10;3.0;10.0;0.0;0.0;0.0;3.0;3.0;7.0;46.4633622;19.6077792;LocLevel.PRECISE
49.0;Bács-Kiskun;Kiskunhalasi;Halasi Többcélú Kistérségi Társulás Szociális Szolgáltató Központ;6400 Kiskunhalas, Nyúl u.5-7.;97.0;110;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46.4248891;19.4731627;LocLevel.PRECISE
50.0;Bács-Kiskun;Kiskunhalasi;"Bács-Kiskun megyei ""Bárka""Integrált Szociális Intézmény Nefelejcs Otthona";6400 Kiskunhalas, Nefelejcs u.9.;17.0;35;15.0;28.0;0.0;0.0;0.0;1.0;15.0;27.0;46.4275936;19.476903;LocLevel.PRECISE
51.0;Bács-Kiskun;Kunszentmiklósi;Harmónia Integrált Szociális Intézmény Szabadszállási telephely;6080 Szabadszállás, Honvéd u 1.;19.0;47;12.0;40.0;0.0;5.0;0.0;6.0;6.0;0.0;46.89799195474439;19.337961942719968;LocLevel.POSTCODE
52.0;Bács-Kiskun;Kiskunhalasi;Halasi Többcélú Kistérségi Társulás Szociális Szolgáltató Központ;6422 Tompa, Szabadság tér 4.;22.0;35;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.2073035;19.5371403;LocLevel.PRECISE
1.0;Baranya;Siklósi Járás;Centomilla Máriagyűdi Idősek otthona;7800 Siklós, Járó P. u. 42.;60.0;160.0;9.0;22.0;0.0;0.0;0.0;4.0;8.0;18.0;45.856444943624396;18.298879894072055;LocLevel.POSTCODE
2.0;Baranya;Pécsi Járási;Dorothea Otthon;7761 Kozármisleny, Pécsi utca 122/2;38.0;50.0;6.0;36.0;0.0;0.0;0.0;6.0;6.0;30.0;46.0401411;18.2865754;LocLevel.PRECISE
3.0;Baranya;Pécsi Járási;Dr. Szántó László Szeretetotthon;7621 Pécs, Tímár utca 5.;28.0;58.0;2.0;30.0;0.0;0.0;0.0;3.0;2.0;27.0;46.0741317;18.2317378;LocLevel.PRECISE
4.0;Baranya;Pécsi Járási;Baldauf Gusztáv Evangélikus Szeretetotthon;7666 Pogány, Széchenyi utca 12/A;24.0;45.0;4.0;1.0;0.0;0.0;0.0;4.0;3.0;1.0;45.9857456;18.2527519;LocLevel.PRECISE
5.0;Baranya;Pécsi Járási;Gondviselés Háza Harmónia Időskorúak Otthona;7833 Görcsöny, Keresztespuszta puszta 2;30.0;65.0;17.0;33.0;1.0;1.0;0.0;8.0;12.0;24.0;45.969751319509;18.14178565144878;LocLevel.POSTCODE
6.0;Baranya;Pécsi Járási;Szent Lőrinc Gondozóotthon;7634 Pécs, Szentlőrinci út 17;64.0;120.0;19.0;54.0;0.0;0.0;0.0;9.0;19.0;45.0;46.0636246;18.1547611;LocLevel.PRECISE
7.0;Baranya;Mohácsi Járás;Hotel Béda Nonprofit Kft.;7717 Kölked, Felsőbéda dűlő 407.;33.0;60.0;13.0;11.0;0.0;0.0;0.0;7.0;12.0;36.0;45.94671151664663;18.712325921199678;LocLevel.POSTCODE
8.0;Baranya;Mohácsi Járás;Baranya Megyei Platánliget Otthon;7754 Bóly, Hősök tere 5.;167.0;234.0;39.0;126.0;0.0;0.0;0.0;2.0;32.0;123.0;45.96798325;18.515489218199377;LocLevel.PRECISE
9.0;Baranya;Pécsi Járási;BAPTISTA SZERETETSZOLGÁLAT SZERETETOTTHONA;7636 Pécs, Malomvölgyi út 21.;237.0;480.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;46.0346207;18.2149889;LocLevel.PRECISE
10.0;Baranya;Szigetvár;Baranya Megyei Dél-Zselic Egyesített Szociális Intézmény Mozsgói Otthona;7932 Mozsgó Mátyás király u.1.;52.0;133.0;13.0;75.0;0.0;0.0;0.0;3.0;13.0;72.0;46.1155264;17.8493644;LocLevel.PRECISE
11.0;Baranya;Mohácsi Járás;Mohácsi Egyesített Szociális Intézmény;7700 Mohács, Gólya utca 15.;77.0;146.0;4.0;17.0;0.0;0.0;0.0;2.0;1.0;15.0;45.9942748;18.6826783;LocLevel.PRECISE
12.0;Baranya;Komlói Járás;Szociális Gondozási Központ és Konyha Mágocs;7342 Mágocs, Szabadság utca 4.;37.0;36.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;46.3528348;18.2263748;LocLevel.PRECISE
13.0;Baranya;Komlói Járás;"""Szent Borbála"" Otthon";7300 Komló, Pécsi u. 42.;51.0;140.0;1.0;8.0;0.0;1.0;0.0;4.0;0.0;0.0;46.19798034539473;18.246681303387586;LocLevel.POSTCODE
